Country,Clicks,Impressions,CTR,Position
United States,0,161,0%,31.77
Brazil,0,15,0%,17.47
Canada,0,7,0%,14.43
United Kingdom,0,6,0%,5.83
Argentina,0,5,0%,4.6
Colombia,0,5,0%,6.8
France,0,3,0%,15
Netherlands,0,2,0%,6
Pakistan,0,2,0%,11
Chile,0,1,0%,4
Italy,0,1,0%,4
Morocco,0,1,0%,5
Uzbekistan,0,1,0%,5
Mexico,0,1,0%,6
Turkey,0,1,0%,6
Vietnam,0,1,0%,7
Angola,0,1,0%,8
Israel,0,1,0%,8
Saudi Arabia,0,1,0%,8
Thailand,0,1,0%,8
Palestine,0,1,0%,9
Dominican Republic,0,1,0%,10
Ecuador,0,1,0%,10
Paraguay,0,1,0%,10
Seychelles,0,1,0%,10
Germany,0,1,0%,12
Egypt,0,1,0%,76
Australia,0,1,0%,81
