Time (UTC+08:00),Clicks,Impressions,CTR,Position
2026-03-28T18:00:00,0,3,0%,52
2026-03-28T19:00:00,0,1,0%,11
2026-03-28T20:00:00,0,2,0%,87
2026-03-28T21:00:00,0,2,0%,86
2026-03-28T22:00:00,0,4,0%,56.8
2026-03-28T23:00:00,0,4,0%,33.5
2026-03-29T00:00:00,0,2,0%,79.5
2026-03-29T01:00:00,0,2,0%,44.5
2026-03-29T02:00:00,0,3,0%,7.7
2026-03-29T03:00:00,0,2,0%,69.5
2026-03-29T04:00:00,0,0,0%,0
2026-03-29T05:00:00,0,3,0%,61.3
2026-03-29T06:00:00,0,3,0%,29
2026-03-29T07:00:00,0,2,0%,82
2026-03-29T08:00:00,0,3,0%,87.7
2026-03-29T09:00:00,0,2,0%,78.5
2026-03-29T10:00:00,0,4,0%,73.8
2026-03-29T11:00:00,0,4,0%,80.2
2026-03-29T12:00:00,0,10,0%,45
2026-03-29T13:00:00,0,2,0%,88
2026-03-29T14:00:00,0,0,0%,0
2026-03-29T15:00:00,0,2,0%,96
2026-03-29T16:00:00,0,1,0%,9
2026-03-29T17:00:00,0,0,0%,0
