Time (UTC+08:00),Clicks,Impressions,CTR,Position
2026-05-07T06:00:00,0,2,0%,76
2026-05-07T07:00:00,0,3,0%,64.3
2026-05-07T08:00:00,0,5,0%,77
2026-05-07T09:00:00,0,1,0%,71
2026-05-07T10:00:00,0,1,0%,12
2026-05-07T11:00:00,0,7,0%,13.6
2026-05-07T12:00:00,0,2,0%,65
2026-05-07T13:00:00,0,1,0%,99
2026-05-07T14:00:00,0,2,0%,6.5
2026-05-07T15:00:00,0,3,0%,58
2026-05-07T16:00:00,0,0,0%,0
2026-05-07T17:00:00,0,14,0%,19.7
2026-05-07T18:00:00,0,6,0%,88
2026-05-07T19:00:00,0,1,0%,44
2026-05-07T20:00:00,0,4,0%,89.5
2026-05-07T21:00:00,0,5,0%,49.8
2026-05-07T22:00:00,0,5,0%,69.6
2026-05-07T23:00:00,0,21,0%,46.5
2026-05-08T00:00:00,0,9,0%,84.2
2026-05-08T01:00:00,0,9,0%,75
2026-05-08T02:00:00,0,3,0%,84.7
2026-05-08T03:00:00,0,9,0%,58.9
2026-05-08T04:00:00,0,4,0%,84
2026-05-08T05:00:00,0,0,0%,0
